track,scrobbles,user
Rush - Caravan,81,JBreidfjord
Supertramp - Babaji,81,JBreidfjord
The 1975 - UGH!,81,JBreidfjord
Carly Rae Jepsen - Now That I Found You,80,JBreidfjord
Queen - Sail Away Sweet Sister,80,JBreidfjord
Queens of the Stone Age - If I Had a Tail,80,JBreidfjord
"Queens of the Stone Age - Sick, Sick, Sick",80,JBreidfjord
Supertramp - Goodbye Stranger,80,JBreidfjord
Supertramp - The Logical Song,80,JBreidfjord
The Beatles - I Saw Her Standing There - Remastered,80,JBreidfjord
Billy Joel - The Stranger,79,JBreidfjord
Carly Rae Jepsen - Gimmie Love,79,JBreidfjord
Mayday Parade - Even Robots Need Blankets,79,JBreidfjord
Queens of the Stone Age - Kalopsia,79,JBreidfjord
Queens of the Stone Age - My God Is the Sun,79,JBreidfjord
Rush - The Camera Eye - Remaster,79,JBreidfjord
The Zombies - This Will Be Our Year,79,JBreidfjord
Yes - Harold Land - Remastered,79,JBreidfjord
Yes - South Side Of The Sky - Remastered,79,JBreidfjord
Arcade Fire - Electric Blue,78,JBreidfjord
Arcade Fire - Put Your Money on Me,78,JBreidfjord
Arctic Monkeys - R U Mine?,78,JBreidfjord
Billy Joel - Allentown,78,JBreidfjord
Billy Joel - Miami 2017 (I've Seen the Lights Go Out on Broadway),78,JBreidfjord
King Gizzard & The Lizard Wizard - Altered Beast I,78,JBreidfjord
King Gizzard & The Lizard Wizard - Digital Black,78,JBreidfjord
Parquet Courts - NYC Observation,78,JBreidfjord
Rush - Emotion Detector,78,JBreidfjord
Supertramp - Gone Hollywood,78,JBreidfjord
Billy Joel - Easy Money,77,JBreidfjord
Billy Joel - You Look so Good to Me,77,JBreidfjord
Mayday Parade - Underneath The Tide,77,JBreidfjord
Rush - Broon's Bane - Live In Canada/1980,77,JBreidfjord
Rush - Mystic Rhythms,77,JBreidfjord
Rush - Tears,77,JBreidfjord
Simon & Garfunkel - A Simple Desultory Philippic,77,JBreidfjord
Talking Heads - Sugar on My Tongue - 2005 Remaster,77,JBreidfjord
The Zombies - Care of Cell 44,77,JBreidfjord
The Zombies - She's Not There,77,JBreidfjord
twenty one pilots - Hometown,77,JBreidfjord
Arcade Fire - Good God Damn,76,JBreidfjord
Arcade Fire - Peter Pan,76,JBreidfjord
Billy Joel - New York State Of Mind,76,JBreidfjord
Carly Rae Jepsen - Making the Most of the Night,76,JBreidfjord
King Gizzard & The Lizard Wizard - Melting,76,JBreidfjord
Mayday Parade - No Heroes Allowed,76,JBreidfjord
Queen - Killer Queen - Remastered 2011,76,JBreidfjord
Queens of the Stone Age - 3's & 7's,76,JBreidfjord
Queens of the Stone Age - The Evil Has Landed,76,JBreidfjord
Talking Heads - Psycho Killer - 2005 Remaster,76,JBreidfjord
Tom Petty and The Heartbreakers - Into the Great Wide Open,76,JBreidfjord
Yes - I See You - Remastered,76,JBreidfjord
Billy Joel - 52nd Street,75,JBreidfjord
Blue Öyster Cult - Sinful Love,75,JBreidfjord
Carly Rae Jepsen - I Didn't Just Come Here to Dance,75,JBreidfjord
Carly Rae Jepsen - Run Away with Me,75,JBreidfjord
Carly Rae Jepsen - Too Much,75,JBreidfjord
Carly Rae Jepsen - Want You in My Room,75,JBreidfjord
King Gizzard & The Lizard Wizard - Nuclear Fusion,75,JBreidfjord
King Gizzard & The Lizard Wizard - Sleep Drifter,75,JBreidfjord
Arcade Fire - Infinite Content,74,JBreidfjord
Carly Rae Jepsen - I Really Like You,74,JBreidfjord
Carly Rae Jepsen - Warm Blood,74,JBreidfjord
Carly Rae Jepsen - Your Type,74,JBreidfjord
Parquet Courts - Wide Awake,74,JBreidfjord
Queen - Another One Bites the Dust,74,JBreidfjord
Radiohead - Subterranean Homesick Alien,74,JBreidfjord
Supertramp - Child of Vision,74,JBreidfjord
Supertramp - Oh Darling,74,JBreidfjord
Arcade Fire - Reflektor,73,JBreidfjord
Billy Joel - Through the Long Night,73,JBreidfjord
Carly Rae Jepsen - No Drug Like Me,73,JBreidfjord
King Gizzard & The Lizard Wizard - Billabong Valley,73,JBreidfjord
Parquet Courts - Violence,73,JBreidfjord
Queens of the Stone Age - Head Like a Haunted House,73,JBreidfjord
Queens of the Stone Age - I'm Designer,73,JBreidfjord
Queens of the Stone Age - Turnin' on the Screw,73,JBreidfjord
Queens of the Stone Age - Un-Reborn Again,73,JBreidfjord
Royal Blood - Figure It Out,73,JBreidfjord
Royal Blood - Little Monster,73,JBreidfjord
The 1975 - Sex,73,JBreidfjord
The Beatles - I Feel Fine - Remastered 2015,73,JBreidfjord
The Beatles - I'm Looking Through You - Remastered,73,JBreidfjord
Tom Petty and The Heartbreakers - Mary Jane's Last Dance,73,JBreidfjord
Yes - Sound Chaser - Remastered,73,JBreidfjord
Arcade Fire - Infinite_Content,72,JBreidfjord
Blue Öyster Cult - Vengeance,72,JBreidfjord
Mayday Parade - Amber Lynn,72,JBreidfjord
Parquet Courts - Back to Earth,72,JBreidfjord
Parquet Courts - Extinction,72,JBreidfjord
Simon & Garfunkel - The 59th Street Bridge Song (Feelin' Groovy),72,JBreidfjord
Supertramp - Just Another Nervous Wreck,72,JBreidfjord
The 1975 - The Sound,72,JBreidfjord
The Beatles - Maxwell's Silver Hammer - Remastered,72,JBreidfjord
The Smiths - Pretty Girls Make Graves - 2011 Remaster,72,JBreidfjord
Toto - Hold the Line,72,JBreidfjord
Carly Rae Jepsen - Black Heart,71,JBreidfjord
Parquet Courts - Before the Water Gets Too High,71,JBreidfjord
Parquet Courts - Freebird II,71,JBreidfjord
Queen - Fat Bottomed Girls,71,JBreidfjord
Radiohead - Climbing Up the Walls,71,JBreidfjord
Billy Joel - Nocturne,70,JBreidfjord
King Gizzard & The Lizard Wizard - The Lord Of Lightning,70,JBreidfjord
Parquet Courts - Death Will Bring Change,70,JBreidfjord
Queen - Seaside Rendezvous - Remastered 2011,70,JBreidfjord
The Mamas & the Papas - Words Of Love - Single Version,70,JBreidfjord
Yes - Changes,70,JBreidfjord
Billy Joel - A Minor Variation,69,JBreidfjord
Blue Öyster Cult - Debbie Denise,69,JBreidfjord
Carly Rae Jepsen - I'll Be Your Girl,69,JBreidfjord
King Gizzard & The Lizard Wizard - Barefoot Desert,69,JBreidfjord
Rush - Manhattan Project,69,JBreidfjord
Rush - Where's My Thing?,69,JBreidfjord
Supertramp - Lover Boy,69,JBreidfjord
Tom Petty - Runnin' Down A Dream,69,JBreidfjord
Yes - America - Single Edit (Remastered Version),69,JBreidfjord
ABBA - Does Your Mother Know,68,JBreidfjord
ABBA - When I Kissed the Teacher,68,JBreidfjord
Arctic Monkeys - That's Where You're Wrong,68,JBreidfjord
Billy Joel - Captain Jack,68,JBreidfjord
Billy Joel - Sometimes A Fantasy - Live,68,JBreidfjord
Blue Öyster Cult - Tenderloin,68,JBreidfjord
Carly Rae Jepsen - Happy Not Knowing,68,JBreidfjord
King Gizzard & The Lizard Wizard - Cellophane,68,JBreidfjord
King Gizzard & The Lizard Wizard - Paper Mâché,68,JBreidfjord
King Gizzard & The Lizard Wizard - Rattlesnake,68,JBreidfjord
Queen - Somebody To Love - Remastered 2011,68,JBreidfjord
Queens of the Stone Age - Feet Don't Fail Me,68,JBreidfjord
Queens of the Stone Age - Misfit Love,68,JBreidfjord
"Queens of the Stone Age - Run, Pig, Run",68,JBreidfjord
The Zombies - A Rose for Emily,68,JBreidfjord
Thee Oh Sees - The Dream,68,JBreidfjord
Carly Rae Jepsen - E·MO·TION,67,JBreidfjord
King Gizzard & The Lizard Wizard - Doom City,67,JBreidfjord
King Gizzard & The Lizard Wizard - Polygondwanaland,67,JBreidfjord
Led Zeppelin - Going to California - 2012 Remaster,67,JBreidfjord
Queen - Now I'm Here - Remastered 2011,67,JBreidfjord
Radiohead - No Surprises,67,JBreidfjord
Royal Blood - You Can Be So Cruel,67,JBreidfjord
Rush - The Big Money,67,JBreidfjord
Supertramp - Take the Long Way Home,67,JBreidfjord
Talking Heads - Pulled Up - 2005 Remaster,67,JBreidfjord
The Beatles - Day Tripper - Remastered 2015,67,JBreidfjord
ABBA - So Long,66,JBreidfjord
Arctic Monkeys - Cornerstone,66,JBreidfjord
Blue Öyster Cult - After Dark,66,JBreidfjord
Blue Öyster Cult - E.T.I. (Extra Terrestrial Intelligence),66,JBreidfjord
Carly Rae Jepsen - Favourite Colour,66,JBreidfjord
CHON - But,66,JBreidfjord
Queen - Crazy Little Thing Called Love,66,JBreidfjord
Queens of the Stone Age - Battery Acid,66,JBreidfjord
Queens of the Stone Age - Suture Up Your Future,66,JBreidfjord
Radiohead - The Tourist,66,JBreidfjord
Royal Blood - Ten Tonne Skeleton,66,JBreidfjord
Rush - Grand Designs,66,JBreidfjord
Rush - Territories,66,JBreidfjord
The Mamas & the Papas - Twist And Shout,66,JBreidfjord
Yes - America - Remastered,66,JBreidfjord
Yes - Hold On,66,JBreidfjord
Yes - Survival - Remastered,66,JBreidfjord
ABBA - Rock Me,65,JBreidfjord
Arcade Fire - Joan of Arc,65,JBreidfjord
Arcade Fire - We Don't Deserve Love,65,JBreidfjord
Billy Joel - I Go to Extremes,65,JBreidfjord
Billy Joel - Root Beer Rag,65,JBreidfjord
Catfish and the Bottlemen - Business,65,JBreidfjord
King Gizzard & The Lizard Wizard - Altered Beast III,65,JBreidfjord
King Gizzard & The Lizard Wizard - Empty,65,JBreidfjord
Led Zeppelin - Good Times Bad Times - 1993 Remaster,65,JBreidfjord
Led Zeppelin - Misty Mountain Hop,65,JBreidfjord
Parquet Courts - Normalisation,65,JBreidfjord
Queen - Brighton Rock,65,JBreidfjord
Queen - Coming Soon,65,JBreidfjord
Queen - It's a Hard Life,65,JBreidfjord
Queen - Seven Seas Of Rhye - Remastered 2011,65,JBreidfjord
Queens of the Stone Age - Fortress,65,JBreidfjord
Queens of the Stone Age - Into the Hollow,65,JBreidfjord
Royal Blood - Come on Over,65,JBreidfjord
Royal Blood - Lights Out,65,JBreidfjord
Supertramp - Fool's Overture,65,JBreidfjord
Yes - Hearts,65,JBreidfjord
Yes - Soon - New Edit (Remastered Version),65,JBreidfjord
ABBA - Gimme! Gimme! Gimme! (A Man After Midnight),64,JBreidfjord
"ABBA - Honey, Honey",64,JBreidfjord
"ABBA - I Do, I Do, I Do, I Do, I Do",64,JBreidfjord
ABBA - Voulez-Vous,64,JBreidfjord
Arctic Monkeys - Mardy Bum,64,JBreidfjord
Blue Öyster Cult - Tattoo Vampire,64,JBreidfjord
King Gizzard & The Lizard Wizard - Beginner’s Luck,64,JBreidfjord
King Gizzard & The Lizard Wizard - The Floating Fire,64,JBreidfjord
King Gizzard & The Lizard Wizard - Trapdoor,64,JBreidfjord
Led Zeppelin - Four Sticks,64,JBreidfjord
Radiohead - Exit Music (for a Film),64,JBreidfjord
Simon & Garfunkel - Cloudy,64,JBreidfjord
Supertramp - Even In The Quietest Moments,64,JBreidfjord
twenty one pilots - The Run and Go,64,JBreidfjord
"ABBA - Knowing Me, Knowing You",63,JBreidfjord
Arctic Monkeys - Reckless Serenade,63,JBreidfjord
Greta Van Fleet - Safari Song,63,JBreidfjord
King Gizzard & The Lizard Wizard - I'm In Your Mind,63,JBreidfjord
King Gizzard & The Lizard Wizard - Loyalty,63,JBreidfjord
Led Zeppelin - Communication Breakdown,63,JBreidfjord
Led Zeppelin - How Many More Times - 1993 Remaster,63,JBreidfjord
Queen - Hammer to Fall,63,JBreidfjord
Queen - Put Out The Fire,63,JBreidfjord
Queen - Radio Ga Ga,63,JBreidfjord
Queens of the Stone Age - Domesticated Animals,63,JBreidfjord
Queens of the Stone Age - Hideaway,63,JBreidfjord
Royal Blood - She's Creeping,63,JBreidfjord
Rush - 2112: Overture / The Temples Of Syrinx / Discovery / Presentation / Oracle: The Dream / Soliloquy / Grand Finale - Medley/Album Version,63,JBreidfjord
Rush - Seven Cities of Gold,63,JBreidfjord
The 1975 - Chocolate,63,JBreidfjord
Yes - Something's Coming - Remastered,63,JBreidfjord
ABBA - As Good as New,62,JBreidfjord
ABBA - Take a Chance on Me,62,JBreidfjord
Billy Joel - We Didn't Start the Fire,62,JBreidfjord
Black Sabbath - Hand Of Doom - Remastered Version,62,JBreidfjord
Love - You Set the Scene,62,JBreidfjord
Queen - Brighton Rock - Remastered 2011,62,JBreidfjord
"Queen - Get Down, Make Love",62,JBreidfjord
ABBA - That's Me,61,JBreidfjord
Arcade Fire - Here Comes the Night Time,61,JBreidfjord
Billy Joel - Travelin' Prayer,61,JBreidfjord
Billy Joel - Why Judy Why,61,JBreidfjord
Blue Öyster Cult - Joan Crawford,61,JBreidfjord
King Gizzard & The Lizard Wizard - Flying Microtonal Banana,61,JBreidfjord
King Gizzard & The Lizard Wizard - Sense,61,JBreidfjord
King Gizzard & The Lizard Wizard - Tezeta,61,JBreidfjord
King Gizzard & The Lizard Wizard - This Thing,61,JBreidfjord
Mac DeMarco - Salad Days,61,JBreidfjord
