artist,total_plays,jon,ico,matt,austin
Thin Lizzy,21040730,17,0,0,0
White Lies,35485837,17,0,0,0
Bachman-Turner Overdrive,4026395,15,0,0,10
Devo,16995490,15,0,11,1
Eric Johnson,4227672,15,0,0,1
Funkadelic,11147424,15,0,0,0
Guns N' Roses,129800114,15,0,0,5
Kikagaku Moyo,2250359,15,0,82,1
Magic Man,2178661,15,0,0,0
The Doobie Brothers,11985380,15,0,0,3
The Four Tops,7651366,15,0,0,0
The J. Geils Band,3183980,15,0,0,8
American Football,18326836,14,106,65,1
Bon Jovi,73511761,14,0,0,7
Cheap Trick,10114833,14,0,0,0
Chet Baker,23161323,14,0,5,1
Donovan,13146288,14,0,3,0
Jon Bellion,10586548,14,0,0,4
Quicksand,2559218,14,78,0,0
Sia,101115857,14,58,0,0
The Human League,11657067,14,0,0,0
Barcelona,3043654,13,0,0,0
Deep Purple,59368776,13,0,0,0
Duran Duran,34310876,13,0,0,0
Golden Earring,4869264,13,0,0,0
Harry Nilsson,9328353,13,0,0,0
Norman Greenbaum,2854530,13,0,0,6
Oasis,172375291,13,0,35,2
Sniff 'n' the Tears,639422,13,0,0,0
Tears for Fears,31225709,13,0,0,0
The Neighbourhood,78454980,13,0,0,0
The Psychedelic Furs,8179782,13,0,4,0
The Voidz,5718504,13,23,2,0
Unknown Mortal Orchestra,20452291,13,0,19,0
...And You Will Know Us by the Trail of Dead,16595614,12,244,628,1
Blue Cheer,1788331,12,0,0,0
Deerhunter,45393347,12,131,840,0
Deniece Williams,1387399,12,0,0,0
Free,6292002,12,0,0,1
Gentle Giant,6448493,12,0,0,0
George Michael,27382770,12,30,0,1
Joy Division,117414553,12,111,29,0
Lana Del Rey,376045384,12,437,123,0
Men at Work,10276936,12,0,0,4
Mount Eerie,14358438,12,0,0,0
Phil Collins,37466002,12,0,0,9
Primus,23474303,12,0,247,0
Rainbow,21177475,12,0,0,0
Run the Jewels,32874562,12,1104,863,0
Rupert Holmes,2394743,12,0,0,4
Sigur Rós,135839338,12,23,0,0
Slowdive,44178920,12,173,25,0
Status Quo,8949998,12,0,0,0
T. Rex,21978578,12,0,0,0
The Jackson 5,18365950,12,34,0,0
The Louvin Brothers,940514,12,0,0,0
Ultimate Spinach,845321,12,0,3,0
Vince Guaraldi Trio,9087008,12,33,0,0
10cc,7980602,11,0,0,0
Beach Fossils,19200965,11,35,4,0
Cavs,29769,11,0,0,0
Cotton Jones,1957586,11,0,3,0
Death from Above 1979,26190799,11,337,454,0
Declan Mckenna,12825257,11,104,0,0
"Emerson, Lake & Palmer",10816735,11,0,0,0
Frank Zappa,43770936,11,0,0,0
Grapetooth,346237,11,0,1,2
Grover Anderson,23397,11,0,0,0
Iron Maiden,186952524,11,88,13,1
Kurt Vile,19901421,11,0,105,0
Louis Prima,4022072,11,0,0,0
Madvillain,42823204,11,60,170,0
Miles Davis,57769062,11,37,128,0
Neil Diamond,12008054,11,0,0,7
Orions Belte,347512,11,0,0,0
Quiet Riot,5178258,11,0,0,0
Saint Motel,8673704,11,0,0,0
The B-52's,11355174,11,0,4,0
The Supremes,10855215,11,0,0,5
Todd Rundgren,6731315,11,0,0,2
